week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
4,2014,9,12,3,2695,TB,PIT,0,NFC-SOUTH,AFC-NORTH,13,1,10,1,short right,7,Regular
4,2014,9,12,3,2660,TB,PIT,0,NFC-SOUTH,AFC-NORTH,20,2,3,0,right guard,7,Regular
4,2014,9,12,3,2627,TB,PIT,0,NFC-SOUTH,AFC-NORTH,28,1,10,1,short right,0,Regular
4,2014,9,12,3,2621,TB,PIT,0,NFC-SOUTH,AFC-NORTH,28,2,10,1,short left,0,Regular
4,2014,9,12,3,2617,TB,PIT,0,NFC-SOUTH,AFC-NORTH,28,3,10,1,deep middle,18,Regular
4,2014,9,12,3,2555,TB,PIT,0,NFC-SOUTH,AFC-NORTH,77,1,3,1,short left,0,Regular
4,2014,9,12,3,2551,TB,PIT,0,NFC-SOUTH,AFC-NORTH,77,2,3,0,left tackle,3,Regular
4,2014,9,13,3,2547,PIT,TB,1,AFC-NORTH,NFC-SOUTH,13,1,10,1,deep right,0,Regular
4,2014,9,13,3,2540,PIT,TB,1,AFC-NORTH,NFC-SOUTH,13,2,10,1,short right,16,Regular
4,2014,9,13,3,2505,PIT,TB,1,AFC-NORTH,NFC-SOUTH,30,1,10,0,center,2,Regular
4,2014,9,13,3,2470,PIT,TB,1,AFC-NORTH,NFC-SOUTH,32,2,8,0,center,-2,Regular
4,2014,9,13,3,2407,PIT,TB,1,AFC-NORTH,NFC-SOUTH,69,1,10,1,short left,17,Regular
4,2014,9,13,3,2368,PIT,TB,1,AFC-NORTH,NFC-SOUTH,87,1,10,1,short middle,11,Regular
4,2014,9,13,3,2326,PIT,TB,1,AFC-NORTH,NFC-SOUTH,50,1,9,1,short right,9,Regular
4,2014,9,13,3,2321,PIT,TB,1,AFC-NORTH,NFC-SOUTH,50,1,9,0,center,4,Regular
4,2014,9,13,3,2280,PIT,TB,1,AFC-NORTH,NFC-SOUTH,55,2,5,1,short middle,0,Regular
4,2014,9,13,3,2274,PIT,TB,1,AFC-NORTH,NFC-SOUTH,55,3,5,1,short middle,5,Regular
4,2014,9,14,3,2270,TB,PIT,0,NFC-SOUTH,AFC-NORTH,13,1,10,1,deep middle,0,Regular
4,2014,9,14,3,2266,TB,PIT,0,NFC-SOUTH,AFC-NORTH,13,2,10,0,center,2,Regular
4,2014,9,14,3,2226,TB,PIT,0,NFC-SOUTH,AFC-NORTH,15,3,8,1,short right,17,Regular
4,2014,9,14,3,2199,TB,PIT,0,NFC-SOUTH,AFC-NORTH,33,1,10,0,left guard,4,Regular
4,2014,9,14,3,2158,TB,PIT,0,NFC-SOUTH,AFC-NORTH,38,2,6,1,short right,1,Regular
4,2014,9,14,3,2117,TB,PIT,0,NFC-SOUTH,AFC-NORTH,39,3,5,1,short middle,7,Regular
4,2014,9,15,3,2078,PIT,TB,1,AFC-NORTH,NFC-SOUTH,32,1,10,1,short left,7,Regular
4,2014,9,15,3,2044,PIT,TB,1,AFC-NORTH,NFC-SOUTH,40,2,3,0,center,1,Regular
4,2014,9,15,3,2007,PIT,TB,1,AFC-NORTH,NFC-SOUTH,41,3,2,0,left guard,10,Regular
4,2014,9,15,3,1967,PIT,TB,1,AFC-NORTH,NFC-SOUTH,61,1,10,1,deep right,0,Regular
4,2014,9,15,3,1962,PIT,TB,1,AFC-NORTH,NFC-SOUTH,61,2,10,0,left guard,5,Regular
4,2014,9,15,3,1919,PIT,TB,1,AFC-NORTH,NFC-SOUTH,67,3,5,0,Scrambles,2,Regular
4,2014,9,16,3,1876,TB,PIT,0,NFC-SOUTH,AFC-NORTH,49,1,10,1,short middle,7,Regular
4,2014,9,16,3,1842,TB,PIT,0,NFC-SOUTH,AFC-NORTH,7,2,3,0,left guard,2,Regular
4,2014,9,16,4,1800,TB,PIT,0,NFC-SOUTH,AFC-NORTH,9,3,1,0,center,3,Regular
