week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
10,2015,11,13,3,2177,TB,DAL,1,NFC-SOUTH,NFC-EAST,37,3,9,1,short right,0,Regular
10,2015,11,14,3,2162,DAL,TB,0,NFC-EAST,NFC-SOUTH,17,1,10,0,right guard,4,Regular
10,2015,11,14,3,2121,DAL,TB,0,NFC-EAST,NFC-SOUTH,21,2,6,1,deep right,17,Regular
10,2015,11,14,3,2082,DAL,TB,0,NFC-EAST,NFC-SOUTH,40,1,10,1,short left,5,Regular
10,2015,11,14,3,2041,DAL,TB,0,NFC-EAST,NFC-SOUTH,54,2,5,0,left guard,2,Regular
10,2015,11,14,3,1999,DAL,TB,0,NFC-EAST,NFC-SOUTH,57,3,3,1,Sack,-3,Regular
10,2015,11,15,3,1972,TB,DAL,1,NFC-SOUTH,NFC-EAST,34,1,10,0,left guard,3,Regular
10,2015,11,15,3,1941,TB,DAL,1,NFC-SOUTH,NFC-EAST,48,2,7,1,short left,0,Regular
10,2015,11,15,3,1935,TB,DAL,1,NFC-SOUTH,NFC-EAST,48,3,7,1,short right,12,Regular
10,2015,11,15,3,1901,TB,DAL,1,NFC-SOUTH,NFC-EAST,11,1,10,0,left tackle,1,Regular
10,2015,11,15,3,1864,TB,DAL,1,NFC-SOUTH,NFC-EAST,13,2,9,1,deep left,16,Regular
10,2015,11,15,3,1820,TB,DAL,1,NFC-SOUTH,NFC-EAST,30,1,10,1,deep middle,19,Regular
10,2015,11,15,4,1800,TB,DAL,1,NFC-SOUTH,NFC-EAST,60,1,10,0,right tackle,-2,Regular
10,2015,11,15,4,1762,TB,DAL,1,NFC-SOUTH,NFC-EAST,58,2,12,1,deep right,0,Regular
10,2015,11,15,4,1755,TB,DAL,1,NFC-SOUTH,NFC-EAST,58,3,12,1,short left,0,Regular
10,2015,11,16,4,1737,DAL,TB,0,NFC-EAST,NFC-SOUTH,48,1,10,0,left tackle,3,Regular
10,2015,11,16,4,1687,DAL,TB,0,NFC-EAST,NFC-SOUTH,18,1,10,1,short left,10,Regular
10,2015,11,16,4,1652,DAL,TB,0,NFC-EAST,NFC-SOUTH,29,1,10,0,right tackle,0,Regular
10,2015,11,16,4,1611,DAL,TB,0,NFC-EAST,NFC-SOUTH,29,2,10,1,short left,4,Regular
10,2015,11,16,4,1570,DAL,TB,0,NFC-EAST,NFC-SOUTH,33,3,6,1,deep left,0,Regular
10,2015,11,17,4,1549,TB,DAL,1,NFC-SOUTH,NFC-EAST,49,1,10,0,right guard,2,Regular
